plantName;dateStart;obs;lod;plantVolume;meanVolume
PARIS_SEINE-AMONT;2021-09-06;120741.17070778932;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-09-08;167796.37600486237;5000;207969.0;203240.0
PARIS_SEINE-AMONT;2021-09-08;35793.86806295927;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-09-08;236480.63104025336;5000;27715.0;45468.0
PARIS_SEINE-MOREE;2021-09-08;149631.418539054;5000;31450.0;14818.0
PARIS_SEINE-CENTRE;2021-09-12;42347.567297826645;5000;240703.0;203240.0
PARIS_MARNE_AVAL;2021-09-13;27916.324281983096;5000;33306.0;45468.0
PARIS_SEINE-MOREE;2021-09-13;45403.52711220443;5000;30280.0;14818.0
PARIS_SEINE-AMONT;2021-09-13;82062.40683456017;5000;452285.0;452285.0
PARIS_SEINE-AMONT;2021-09-15;63128.74864365966;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-09-15;76846.68550506605;5000;71915.0;45468.0
PARIS_SEINE-MOREE;2021-09-15;131777.46031888248;5000;31550.0;14818.0
PARIS_SEINE-CENTRE;2021-09-15;119950.88115731336;5000;301035.0;203240.0
PARIS_SEINE-CENTRE;2021-09-19;80316.99960282496;5000;287018.0;203240.0
PARIS_MARNE_AVAL;2021-09-20;52839.8927800537;5000;44073.0;45468.0
PARIS_SEINE-MOREE;2021-09-20;19924.587712145312;5000;2830.0;14818.0
PARIS_SEINE-AMONT;2021-09-20;39654.23416759854;5000;452285.0;452285.0
PARIS_SEINE-AMONT;2021-09-22;87697.0052525862;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-09-22;280141.32639657595;5000;35976.0;45468.0
PARIS_SEINE-CENTRE;2021-09-22;52420.792461579105;5000;213280.0;203240.0
PARIS_SEINE-CENTRE;2021-09-26;52583.213098013526;5000;211135.0;203240.0
PARIS_SEINE-AMONT;2021-09-27;72332.42661968534;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-09-27;19428.38054429491;5000;41124.0;45468.0
PARIS_MARNE_AVAL;2021-09-29;35816.278858825186;5000;40621.0;45468.0
PARIS_SEINE-CENTRE;2021-09-29;46513.503817939374;5000;210817.0;203240.0
PARIS_SEINE-AMONT;2021-09-29;121095.29000148391;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-10-03;48175.459552554785;5000;409510.0;203240.0
PARIS_MARNE_AVAL;2021-10-04;111941.65809537513;5000;46734.0;45468.0
